model;phase;agent;attribute;mean_neutral_score;mean_halo_score;mean_halo_effect;median_halo_effect;minimum_halo_effect;maximum_halo_effect;halo_effect_sd;positive_pairs;no_change_pairs;negative_pairs;number_of_pairs;effect_direction
ChatGPT;initial;ALL;analytical_thinking;5,6667;5,8667;0,2;0,0;-0,3333;0,6667;0,4472;2;2;1;5;Average positive halo difference
ChatGPT;initial;ALL;career_consistency;5,4;5,8667;0,4667;0,3333;0,3333;0,6667;0,1826;5;0;0;5;Average positive halo difference
ChatGPT;initial;ALL;client_facing_ability;4,0667;4,1333;0,0667;0,0;0,0;0,3333;0,1491;1;4;0;5;Average positive halo difference
ChatGPT;initial;ALL;communication_skills;5,3333;5,4;0,0667;0,0;-0,3333;0,6667;0,3651;1;3;1;5;Average positive halo difference
ChatGPT;initial;ALL;cultural_fit;5,7333;6,2667;0,5333;0,6667;0,0;1,0;0,3801;4;1;0;5;Average positive halo difference
ChatGPT;initial;ALL;hiring_recommendation;5,0;5,2667;0,2667;0,0;0,0;0,6667;0,3651;2;3;0;5;Average positive halo difference
ChatGPT;initial;ALL;leadership_potential;4,0;4,2;0,2;0,0;0,0;0,6667;0,2981;2;3;0;5;Average positive halo difference
ChatGPT;initial;ALL;strategic_thinking;4,3333;4,6;0,2667;0,0;0,0;1,0;0,4346;2;3;0;5;Average positive halo difference
ChatGPT;initial;ALL;technical_competence;5,8667;6,2;0,3333;0,3333;0,0;0,6667;0,3333;3;2;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;analytical_thinking;5,8;6,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;career_consistency;5,0;5,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;client_facing_ability;4,2;4,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;initial;HR Recruiter;communication_skills;5,4;5,4;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
ChatGPT;initial;HR Recruiter;cultural_fit;5,8;6,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;hiring_recommendation;5,0;5,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;leadership_potential;4,0;4,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;HR Recruiter;technical_competence;6,0;6,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Partner;analytical_thinking;5,6;5,8;0,2;0,0;-1,0;1,0;0,8367;2;2;1;5;Average positive halo difference
ChatGPT;initial;Partner;career_consistency;5,6;7,0;1,4;1,0;1,0;2,0;0,5477;5;0;0;5;Average positive halo difference
ChatGPT;initial;Partner;client_facing_ability;3,8;4,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Partner;communication_skills;5,2;5,4;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Partner;cultural_fit;5,6;6,4;0,8;1,0;0,0;2,0;0,8367;3;2;0;5;Average positive halo difference
ChatGPT;initial;Partner;hiring_recommendation;4,8;5,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
ChatGPT;initial;Partner;leadership_potential;4,0;4,4;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;initial;Partner;strategic_thinking;4,2;4,6;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;initial;Partner;technical_competence;5,8;6,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
ChatGPT;initial;Technology Manager;analytical_thinking;5,6;5,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Technology Manager;career_consistency;5,6;5,4;-0,2;0,0;-1,0;0,0;0,4472;0;4;1;5;Average negative halo difference
ChatGPT;initial;Technology Manager;client_facing_ability;4,2;4,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;initial;Technology Manager;communication_skills;5,4;5,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;initial;Technology Manager;cultural_fit;5,8;6,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Technology Manager;hiring_recommendation;5,2;5,2;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
ChatGPT;initial;Technology Manager;leadership_potential;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;initial;Technology Manager;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;initial;Technology Manager;technical_competence;5,8;6,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;ALL;analytical_thinking;5,6667;6,0;0,3333;0,0;0,0;1,0;0,4714;2;3;0;5;Average positive halo difference
ChatGPT;revised;ALL;career_consistency;5,4;5,6667;0,2667;0,3333;-0,3333;0,6667;0,4346;3;1;1;5;Average positive halo difference
ChatGPT;revised;ALL;client_facing_ability;4,0667;4,1333;0,0667;0,0;0,0;0,3333;0,1491;1;4;0;5;Average positive halo difference
ChatGPT;revised;ALL;communication_skills;5,2667;5,4;0,1333;0,0;-0,3333;1,0;0,5055;1;3;1;5;Average positive halo difference
ChatGPT;revised;ALL;cultural_fit;5,7333;6,4;0,6667;0,6667;0,0;1,6667;0,7071;3;2;0;5;Average positive halo difference
ChatGPT;revised;ALL;hiring_recommendation;4,9333;5,3333;0,4;0,3333;0,0;1,0;0,4346;3;2;0;5;Average positive halo difference
ChatGPT;revised;ALL;leadership_potential;4,0;4,2667;0,2667;0,0;0,0;1,0;0,4346;2;3;0;5;Average positive halo difference
ChatGPT;revised;ALL;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;ALL;technical_competence;5,8667;6,2;0,3333;0,0;0,0;1,0;0,4714;2;3;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;analytical_thinking;5,8;6,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;career_consistency;5,2;5,4;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;client_facing_ability;4,0;4,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;communication_skills;5,2;5,4;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;cultural_fit;5,6;6,4;0,8;1,0;0,0;2,0;0,8367;3;2;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;hiring_recommendation;5,0;5,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;leadership_potential;4,0;4,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
