model;agent;attribute;mean_initial_halo_effect;mean_revised_halo_effect;mean_peer_review_change;median_peer_review_change;minimum_peer_review_change;maximum_peer_review_change;peer_review_change_sd;reductions;no_changes;amplifications;number_of_pairs;interpretation
ChatGPT;ALL;analytical_thinking;0,2;0,3333;0,1333;0,0;0,0;0,3333;0,1826;0;3;2;5;Peer review amplified halo
ChatGPT;ALL;career_consistency;0,4667;0,2667;-0,2;0,0;-0,6667;0,0;0,2981;2;3;0;5;Peer review reduced halo
ChatGPT;ALL;client_facing_ability;0,0667;0,0667;0,0;0,0;-0,3333;0,3333;0,2357;1;3;1;5;Peer review did not change halo
ChatGPT;ALL;communication_skills;0,0667;0,1333;0,0667;0,0;0,0;0,3333;0,1491;0;4;1;5;Peer review amplified halo
ChatGPT;ALL;cultural_fit;0,5333;0,6667;0,1333;0,0;-0,3333;0,6667;0,3801;1;2;2;5;Peer review amplified halo
ChatGPT;ALL;hiring_recommendation;0,2667;0,4;0,1333;0,0;0,0;0,3333;0,1826;0;3;2;5;Peer review amplified halo
ChatGPT;ALL;leadership_potential;0,2;0,2667;0,0667;0,0;0,0;0,3333;0,1491;0;4;1;5;Peer review amplified halo
ChatGPT;ALL;strategic_thinking;0,2667;0,2;-0,0667;0,0;-0,3333;0,0;0,1491;1;4;0;5;Peer review reduced halo
ChatGPT;ALL;technical_competence;0,3333;0,3333;0,0;0,0;-0,3333;0,3333;0,2357;1;3;1;5;Peer review did not change halo
ChatGPT;HR Recruiter;analytical_thinking;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;HR Recruiter;career_consistency;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;HR Recruiter;client_facing_ability;0,0;0,2;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;HR Recruiter;communication_skills;0,0;0,2;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;HR Recruiter;cultural_fit;0,6;0,8;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;HR Recruiter;hiring_recommendation;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;HR Recruiter;leadership_potential;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;HR Recruiter;strategic_thinking;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;HR Recruiter;technical_competence;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Partner;analytical_thinking;0,2;0,4;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;Partner;career_consistency;1,4;0,8;-0,6;0,0;-2,0;0,0;0,8944;2;3;0;5;Peer review reduced halo
ChatGPT;Partner;client_facing_ability;0,2;0,0;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
ChatGPT;Partner;communication_skills;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Partner;cultural_fit;0,8;0,6;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
ChatGPT;Partner;hiring_recommendation;0,6;0,6;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Partner;leadership_potential;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Partner;strategic_thinking;0,4;0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
ChatGPT;Partner;technical_competence;0,6;0,4;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
ChatGPT;Technology Manager;analytical_thinking;0,2;0,4;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;Technology Manager;career_consistency;-0,2;-0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Technology Manager;client_facing_ability;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Technology Manager;communication_skills;0,0;0,0;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;Peer review did not change halo
ChatGPT;Technology Manager;cultural_fit;0,2;0,6;0,4;0,0;0,0;1,0;0,5477;0;3;2;5;Peer review amplified halo
ChatGPT;Technology Manager;hiring_recommendation;0,0;0,4;0,4;0,0;0,0;1,0;0,5477;0;3;2;5;Peer review amplified halo
ChatGPT;Technology Manager;leadership_potential;0,0;0,2;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
ChatGPT;Technology Manager;strategic_thinking;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
ChatGPT;Technology Manager;technical_competence;0,2;0,4;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
Claude;ALL;analytical_thinking;0,2667;0,2667;0,0;0,0;-0,3333;0,3333;0,2357;1;3;1;5;Peer review did not change halo
Claude;ALL;career_consistency;0,0667;-0,0667;-0,1333;0,0;-0,3333;0,0;0,1826;2;3;0;5;Peer review reduced halo
Claude;ALL;client_facing_ability;0,1333;0,0;-0,1333;0,0;-0,3333;0,0;0,1826;2;3;0;5;Peer review reduced halo
Claude;ALL;communication_skills;0,0667;-0,1333;-0,2;-0,3333;-0,3333;0,0;0,1826;3;2;0;5;Peer review reduced halo
Claude;ALL;cultural_fit;0,6667;0,5333;-0,1333;0,0;-0,3333;0,0;0,1826;2;3;0;5;Peer review reduced halo
